kirjastus_orig	kirjastus_standardized	N	min_time	max_time	min_time_st	max_time_st	standardizing_name	manual_verified
эстонский научно исследовательский институт лесного хозяйства и охраны природы	эстонский научно исследовательский институт лесного хозяйства и охраны природы	3	1977	1986	1977	1986	эстонский научно исследовательский институт лесного хозяйства и охраны природы	""
эстонский научно исследовательский институт научно  технической информации и технико экономических исследований	эстонский научно исследовательский институт научно  технической информации и технико экономических исследований	2	1983	1983	1983	1983	эстонский научно исследовательский институт научно  технической информации и технико экономических исследований	""
эстонский научно исследовательский институт научно технической информации	эстонский научно исследовательский институт научно технической информации	7	1974	1987	1974	1987	эстонский научно исследовательский институт научно технической информации	""
эстонский научно исследовательский институт научно технической информации и технико экономиченских исследований	эстонский научно исследовательский институт научно технической информации и технико экономиченских исследований	1	1977	1977	1977	1977	эстонский научно исследовательский институт научно технической информации и технико экономиченских исследований	""
эстонский научно исследовательский институт научно технической информации и технико экономических исследовании	эстонский научно исследовательский институт научно технической информации и технико экономических исследовании	17	1973	1987	1973	1987	эстонский научно исследовательский институт научно технической информации и технико экономических исследовании	""
эстонский научно исследовательский институт научно технической информации и технико экономических исследований	эстонский научно исследовательский институт научно технической информации и технико экономических исследований	56	1969	1990	1969	1990	эстонский научно исследовательский институт научно технической информации и технико экономических исследований	""
эстонский научно исследовательский институт научно технической информации и технико экономической исследований	эстонский научно исследовательский институт научно технической информации и технико экономической исследований	3	1973	1977	1973	1977	эстонский научно исследовательский институт научно технической информации и технико экономической исследований	""
эстонский научно исследовательский институт научно технической информации и техническо экономической исследований	эстонский научно исследовательский институт научно технической информации и техническо экономической исследований	1	1977	1977	1977	1977	эстонский научно исследовательский институт научно технической информации и техническо экономической исследований	""
эстонский научно иссследовательский институт животноводства и ветеринарии	эстонский научно иссследовательский институт животноводства и ветеринарии	1	1975	1975	1975	1975	эстонский научно иссследовательский институт животноводства и ветеринарии	""
эстонский научно иссследовательский институт животноводства и ветеринарии им.а.мельдера	эстонский научно иссследовательский институт животноводства и ветеринарии им.а.мельдера	2	1980	1980	1980	1980	эстонский научно иссследовательский институт животноводства и ветеринарии им.а.мельдера	""
эстонский научный исследовательский институт животноводства и ветеринарии	эстонский научный исследовательский институт животноводства и ветеринарии	2	1975	1988	1975	1988	эстонский научный исследовательский институт животноводства и ветеринарии	""
эстонский национальный музей	эстонский национальный музей	3	2002	2011	2002	2011	эстонский национальный музей	""
эстонский нии животноводства и ветеринарии	эстонский нии животноводства и ветеринарии	20	1969	1991	1969	1991	эстонский нии животноводства и ветеринарии	""
эстонский нии животноводства и ветеринарии им.а.мельдера	эстонский нии животноводства и ветеринарии им.а.мельдера	1	1988	1988	1988	1988	эстонский нии животноводства и ветеринарии им.а.мельдера	""
эстонский нии животноводства и ветеринарии им.а.э.мельдера	эстонский нии животноводства и ветеринарии им.а.э.мельдера	1	1983	1983	1983	1983	эстонский нии животноводства и ветеринарии им.а.э.мельдера	""
эстонский нии животноводства и ветеринариии	эстонский нии животноводства и ветеринариии	1	1974	1974	1974	1974	эстонский нии животноводства и ветеринариии	""
эстонский нии институт живоноводства и ветеринарии им.а.э.мельдера	эстонский нии институт живоноводства и ветеринарии им.а.э.мельдера	1	1989	1989	1989	1989	эстонский нии институт живоноводства и ветеринарии им.а.э.мельдера	""
эстонский нии строительства	эстонский нии строительства	1	1990	1990	1990	1990	эстонский нии строительства	""
эстонский ниинти	эстонский ниинти	15	1972	1983	1972	1983	эстонский ниинти	""
эстонский ниинти и технико экономических исследовании	эстонский ниинти и технико экономических исследовании	2	1986	1988	1986	1988	эстонский ниинти и технико экономических исследовании	""
эстонский общественный центр гуманной педагогики	эстонский общественный центр гуманной педагогики	3	2011	2014	2011	2014	эстонский общественный центр гуманной педагогики	""
"эстонский районный совет дсо """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""локомотив"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""	"эстонский районный совет дсо """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""локомотив"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""	1	1978	1978	1978	1978	"эстонский районный совет дсо ""локомотив"	""
эстонский раковый союз	эстонский раковый союз	1	2003	2003	2003	2003	эстонский раковый союз	""
эстонский республиканеский совет профсоюза	эстонский республиканеский совет профсоюза	1	1983	1983	1983	1983	эстонский республиканеский совет профсоюза	""
эстонский республиканский дом научно технической пропаганды	эстонский республиканский дом научно технической пропаганды	1	1958	1958	1958	1958	эстонский республиканский дом научно технической пропаганды	""
эстонский республиканский комитет профсоюза работников агропромышленного комплекса	эстонский республиканский комитет профсоюза работников агропромышленного комплекса	1	1986	1986	1986	1986	эстонский республиканский комитет профсоюза работников агропромышленного комплекса	""
эстонский республиканский нто пищевой промышленности	эстонский республиканский нто пищевой промышленности	1	1957	1957	1957	1957	эстонский республиканский нто пищевой промышленности	""
эстонский республиканский совет воир	эстонский республиканский совет воир	5	1976	1981	1976	1981	эстонский республиканский совет воир	""
эстонский республиканский совет научно технических обществ	эстонский республиканский совет научно технических обществ	6	1959	1983	1959	1983	эстонский республиканский совет научно технических обществ	""
эстонский республиканский совет научно технических обществ эснто	эстонский республиканский совет научно технических обществ эснто	1	1968	1968	1968	1968	эстонский республиканский совет научно технических обществ эснто	""
эстонский республиканский совет научно технического общества	эстонский республиканский совет научно технического общества	1	1968	1968	1968	1968	эстонский республиканский совет научно технического общества	""
эстонский республиканский совет по проблемам физиологии и биохимии растений	эстонский республиканский совет по проблемам физиологии и биохимии растений	1	1981	1981	1981	1981	эстонский республиканский совет по проблемам физиологии и биохимии растений	""
эстонский республиканский совет по туризму	эстонский республиканский совет по туризму	1	1969	1969	1969	1969	эстонский республиканский совет по туризму	""
эстонский республиканский совет по туризму и экскурсиям	эстонский республиканский совет по туризму и экскурсиям	1	1985	1985	1985	1985	эстонский республиканский совет по туризму и экскурсиям	""
эстонский республиканский совет по управлению курортами профсоюзов	эстонский республиканский совет по управлению курортами профсоюзов	3	1973	1988	1973	1988	эстонский республиканский совет по управлению курортами профсоюзов	""
эстонский республиканский совет промысловой кооперации	эстонский республиканский совет промысловой кооперации	26	1953	1958	1953	1958	эстонский республиканский совет промысловой кооперации	""
эстонский республиканский совет профессиональных союзов	эстонский республиканский совет профессиональных союзов	1	1986	1986	1986	1986	эстонский республиканский совет профессиональных союзов	""
эстонский республиканский совет профсоюзов	эстонский республиканский совет профсоюзов	24	1958	1988	1958	1988	эстонский республиканский совет профсоюзов	""
эстонский республиканский союз потребительских обществ	эстонский республиканский союз потребительских обществ	12	1949	1984	1949	1984	эстонский республиканский союз потребительских обществ	""
эстонский республиканский союз профсоюзов	эстонский республиканский союз профсоюзов	1	1972	1972	1972	1972	эстонский республиканский союз профсоюзов	""
